distance,cds
0.003,899
0.03,900
0.057,900
0.085,901
0.112,900
0.139,900
0.166,899
0.194,900
0.221,900
0.248,900
0.275,900
0.303,899
0.33,900
0.357,900
0.385,900
0.412,899
0.439,899
0.466,900
0.494,899
0.521,900
0.548,900
0.575,900
0.603,901
0.63,901
0.657,901
0.685,901
0.712,901
0.739,902
0.766,902
0.794,903
0.821,902
0.848,902
0.875,902
0.903,901
0.93,837
0.957,720
0.985,635
1.012,579
1.039,522
1.066,480
1.094,437
1.121,409
1.148,380
1.175,361
1.203,345
1.23,334
1.257,329
1.285,328
1.312,332
1.339,341
1.366,354
1.394,374
1.421,392
1.448,416
1.475,436
1.503,457
1.53,469
1.557,472
1.585,467
1.612,448
1.639,432
1.666,401
1.694,380
1.721,347
1.748,326
1.775,303
1.803,286
1.83,270
1.857,259
1.885,251
1.912,248
1.939,248
1.966,251
1.994,259
2.021,270
2.048,287
2.075,306
2.103,329
2.13,355
2.157,378
2.185,398
2.212,409
2.239,410
2.266,402
2.294,386
2.321,365
2.348,342
2.375,312
2.403,293
2.43,266
2.457,247
2.485,230
2.512,216
2.539,207
2.566,200
2.594,198
2.621,198
2.648,201
2.675,207
2.703,216
2.73,232
2.757,247
2.785,271
2.812,290
2.839,318
2.866,337
2.894,353
2.921,360
2.948,356
2.975,346
3.003,326
3.03,305
3.057,281
3.085,257
3.112,235
3.139,215
3.166,200
3.194,184
3.221,174
3.248,165
3.275,161
3.303,158
3.33,157
3.357,161
3.385,165
3.412,174
3.439,184
3.466,197
3.494,215
3.521,233
3.548,256
3.575,277
3.603,296
3.63,309
3.657,313
3.685,312
3.712,301
3.739,285
3.766,266
3.794,245
3.821,225
3.848,206
3.875,189
3.903,176
3.93,163
3.957,155
3.985,149
4.012,146
4.039,145
4.066,146
4.094,150
4.121,157
4.148,166
4.175,181
4.203,196
4.23,217
4.257,236
4.285,258
4.312,278
4.339,293
4.366,300
4.394,299
4.421,287
4.448,274
4.475,257
4.503,236
4.53,216
4.557,199
4.585,181
4.612,167
4.639,154
4.666,145
4.694,139
4.721,136
4.748,135
4.776,135
4.803,139
4.83,145
4.857,153
4.885,165
4.912,180
4.939,198
4.966,219
4.994,240
5.021,258
5.048,271
5.076,278
5.103,276
5.13,266
5.157,253
5.185,234
5.212,216
5.239,195
5.266,177
5.294,160
5.321,148
5.348,137
5.376,128
5.403,122
5.43,118
5.457,116
5.485,117
5.512,121
5.539,126
5.566,134
5.594,145
5.621,159
5.648,176
5.676,195
5.703,214
5.73,232
5.757,246
5.785,253
5.812,254
5.839,249
5.867,237
5.894,223
5.921,207
5.948,189
5.976,175
6.003,160
6.03,149
6.057,139
6.085,133
6.112,129
6.139,127
6.167,128
6.194,132
6.221,138
6.248,148
6.276,161
6.303,177
6.33,196
6.357,219
6.385,241
6.412,262
6.439,277
6.467,285
6.494,285
6.521,279
6.548,267
6.576,252
6.603,234
6.63,216
6.657,198
6.685,184
6.712,171
6.739,161
6.767,155
6.794,151
6.821,149
6.848,151
6.876,155
6.903,161
6.93,171
6.958,185
6.985,202
7.012,223
7.039,247
7.067,271
7.094,292
7.121,313
7.148,324
7.176,327
7.203,322
7.23,309
7.258,291
7.285,271
7.312,250
7.339,231
7.367,213
7.394,198
7.421,186
7.448,176
7.476,169
7.503,166
7.53,165
7.558,168
7.585,171
7.612,179
7.639,189
7.667,203
7.694,219
7.721,240
7.749,265
7.776,290
7.803,314
7.83,335
7.858,350
7.885,357
7.912,354
7.939,344
7.967,329
7.994,311
8.021,289
8.049,271
8.076,250
8.103,237
8.13,221
8.158,213
8.185,203
8.212,199
8.239,196
8.267,199
8.294,201
8.321,208
8.349,218
8.376,228
8.403,245
8.43,264
8.458,289
8.485,312
8.512,344
8.539,366
8.567,388
8.594,404
8.621,412
8.649,412
8.676,403
8.703,388
8.73,369
8.758,346
8.785,323
8.812,302
8.84,284
8.867,270
8.894,260
8.921,252
8.949,249
8.976,247
